filenw,ident,region,regiog,subre,contr,countryname,birth_y,age_sex,age_union,agechild1,agechild2,agechild3,agechild4,agechild5,urban,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,aw,sex,union,child,child20,child30,birth_5y
ALIR50FL.DTA,ALIR50FL.DTA_000000015020002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1960,24,25,26,28,32,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,1,1,1,0,0,1,1960
ALIR50FL.DTA,ALIR50FL.DTA_000000016003002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1977,17,17,20,NA,NA,NA,NA,0,0,0,0,0,0,0,0,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1975
ALIR50FL.DTA,ALIR50FL.DTA_000000016006002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1967,17,17,18,20,22,25,NA,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000016009005,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1977,20,20,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,1975
ALIR50FL.DTA,ALIR50FL.DTA_000000016010002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1964,20,20,20,25,26,32,NA,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,1,1,1,0,1,1,1960
ALIR50FL.DTA,ALIR50FL.DTA_000000016014002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1966,20,20,22,26,27,NA,NA,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000016015002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1975,19,19,21,24,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1975
ALIR50FL.DTA,ALIR50FL.DTA_000000016016002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1962,17,22,24,27,38,NA,NA,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,1,1,1,0,0,1,1960
ALIR50FL.DTA,ALIR50FL.DTA_000000016017002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1963,23,23,24,27,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,1,1,1,0,0,1,1960
ALIR50FL.DTA,ALIR50FL.DTA_000000016018002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1965,20,20,23,25,30,NA,NA,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000017002002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1966,17,17,18,19,29,33,NA,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000017003002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1972,19,19,20,23,30,NA,NA,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1970
ALIR50FL.DTA,ALIR50FL.DTA_000000017004002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1965,16,16,17,20,24,27,29,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,1,1,1,0,1,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000017006001,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1970,18,18,20,25,NA,NA,NA,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1970
ALIR50FL.DTA,ALIR50FL.DTA_000000017007002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1967,20,20,21,25,28,29,31,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000017009002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1969,17,17,18,20,22,24,NA,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000017011002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1966,15,15,17,19,21,22,24,0,0,0,0,0,0,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000017014002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1969,22,22,24,26,29,31,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000017015004,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1967,20,20,22,24,26,27,NA,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000017016002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1973,20,19,21,24,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1970
ALIR50FL.DTA,ALIR50FL.DTA_000000017018002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1969,19,19,22,24,27,NA,NA,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000017020002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1962,20,20,21,23,27,29,31,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,1,1,1,0,0,1,1960
ALIR50FL.DTA,ALIR50FL.DTA_000000018002002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1961,17,18,20,24,29,NA,NA,0,0,0,0,0,0,0,0,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,1,1,1,0,1,1,1960
ALIR50FL.DTA,ALIR50FL.DTA_000000018003002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1968,19,19,21,25,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000018006001,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1970,20,20,22,25,27,NA,NA,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1970
ALIR50FL.DTA,ALIR50FL.DTA_000000018007001,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1965,17,18,18,21,25,29,NA,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000018009002,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1966,22,22,24,26,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1965
ALIR50FL.DTA,ALIR50FL.DTA_000000018011001,Former USSR,Eastern Europe and West Asia,Eastern Europe,Albania,Albania,1978,17,17,20,21,23,24,27,0,0,0,0,0,0,0,0,3,3,3,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1975
